0,1,2,3,4,5,6,7,8,9,10,11
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1964490962174616,-1.21862229432899,-1.241501361221542,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.4680199831533314,1.0881569129345752,1.2921748861693598,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3766124564110637,-0.2732209798767091,-0.35471467463472633,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6840511963384629,-0.7270136108138039,-0.7347661117433616,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.8890103562900623,-0.9539099262823513,-0.9881337364824517,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.033305863492135206,-0.15977282214243546,-0.10134704989563616,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033305863492135206,-0.046324664408161756,0.025336762473908925,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3407446034195344,0.2562037562165681,0.27870438721299906,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.27413287643526396,-0.12195676956434422,-0.22803086226518124,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5038878361448607,-1.4455186097975374,-1.368185173591087,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0939695162416618,-1.067358084016625,-1.1148175488519967,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.17165329645946426,-0.1975888747205267,-0.35471467463472633,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5704995631291312,1.5797655964497612,1.672226323277995,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.6840511963384629,-0.6891975582357127,-0.6080822993738164,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5457037633711338,0.3696519139508418,0.4053881995825442,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2989286761932612,-1.2942543994851723,-1.241501361221542,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.8779383030565304,2.0335582273868558,2.3056453851257204,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.853142503298533,0.8990766500441191,0.9121234490607245,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6729791431049308,1.7310298067621261,1.79891013564754,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.6063674161206605,-1.558966767531811,-1.368185173591087,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3655404031775318,0.9747087552003015,1.1654910737998145,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.47909203638686343,-0.5379333479233478,-0.6080822993738164,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2989286761932612,-1.2564383469070812,-1.241501361221542,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.3766124564110637,-0.31103703245480036,-0.4813984870042714,1
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5815716163626632,-0.46230124276716533,-0.7347661117433616,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3407446034195344,0.33183586137275056,0.4053881995825442,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0939695162416618,-1.0295420314385337,-0.9881337364824517,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9556220832743327,1.0881569129345752,0.7854396366911794,1
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.27413287643526396,-0.23540492729861792,-0.22803086226518124,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.6063674161206605,-1.5211507149537198,-1.368185173591087,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0581016632501326,1.2772371758250314,1.0388072614302695,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4432241833953341,0.44528401910702425,0.27870438721299906,1
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6481833433469336,0.5965482294193892,0.5320720119520892,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.263060823201732,1.4663174387154876,1.418858698538905,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9914899362658621,-1.1429901891728074,-0.9881337364824517,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7506629233227333,0.7099963871536629,0.7854396366911794,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7506629233227333,0.8234445448879366,0.6587558243216344,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.23826502344373465,0.10493954590420317,0.152020574843454,0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8890103562900623,-0.8782778211261688,-0.8614499241129067,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1605812432259321,1.3528692809812137,1.2921748861693598,1
