Weight,Height
41.6467595436642,73.83933214123338
42.75108168921747,79.81594740184428
43.71603301759982,69.42218255649219
44.64668897345596,70.5933094108674
45.20412743882236,72.88294139632255
47.81376912051071,72.50743991709466
49.76305878758231,73.78429277736643
51.15950885216335,74.6783487583275
52.47956162689621,72.7635242887061
52.48149123539492,68.97129164088716
53.64192989498332,84.77642084702097
54.54599737656805,82.84131814371905
54.6723607882747,82.42920009643449
54.788356442042165,80.4190825349088
55.97390257266878,78.34065091738749
56.987128854262096,82.52834526385664
60.70239852800135,78.59955793457806
63.29833121584336,90.06380350605895
63.37157188281745,79.73008976372567
64.33937943676301,82.08595815489755
64.36910153386965,86.74920768593879
64.93688608715289,91.50766495169844
69.30894746349534,86.13014965430479
69.963209507789,96.64453233090909
74.55560149136926,100.99366919476115
75.21219949916811,90.38135524829664
76.48559873736288,106.3351672901844
79.61415280890162,109.13260019378907
81.13875507308893,114.979483376041
81.60544169422487,112.4245552891518
81.98051453057903,109.89926157884496
83.73682234746238,111.98307379698076
87.39316550896339,123.46973941533447
87.89267873576293,121.15792292536985
88.0892009394567,124.77843648169684
88.60358815211507,125.913512467962
88.94823157779035,122.41753946041244
93.00178274831856,130.97517254690834
94.73864212097254,137.85904691973292
96.64580622368364,133.024327100177
98.5595153449124,145.86204687117063
102.81407691144108,163.974772998727
104.67178784931689,166.22549417934886
106.59541126403374,163.9739071533894
109.2940916619948,180.24844308251284
112.74563216630256,182.52175211076192
115.91084298026666,202.66342421659076
116.05714451279329,196.15634048602763
117.25056264596476,185.97931932651025
117.59278817295954,198.2466829442898
